Dye,Official Manufacturer,,,
Oxazole Red (YO-PRO-3) ,,,,
Oxazole Red Homodimer (YOYO-3) ,,,,
Oxazole Yellow (YO-PRO-1) ,,,,
Oxazole Yellow Homodimer (YOYO-1) ,,,,
PE (R-PE / R-phycoerythrin) ,,,,
PerCP ,,,,
PMA ,,,,
PMAxx ,Biotium,,,
Propidium Iodide ,,,,
RedDot1 ,Biotium,,,
RedDot2 ,Biotium,,,
Resazurin ,,,,
Resorufin ,,,,
RFP ,,,,
Rhodamine 123 ,,,,
RPE-Astral616 ,Biotium,,,
SynaptoGreen ,Biotium,,,
SynaptoRed ,Biotium,,,
Tetramethylrhodamine (TAMRA / TRITC) ,,,,
Texas Red ,,,,
Thiazole Green (SYBR Green I) ,,,,
Thiazole Orange Homodimer (TOTO-1) ,,,,
Thiazole Orange Iodide (TO-PRO-1) ,,,,
Thiazole Red (TO-PRO-3) ,,,,
Thiazole Red Homodimer (TOTO-3) ,,,,
TrueBlack ,Biotium,,,
TrueBlack Plus ,Biotium,,,
ViaFluor 405 Microtubule ,Biotium,,,
ViaFluor 405 SE Proliferation ,Biotium,,,
ViaFluor 488 Microtubule ,Biotium,,,
ViaFluor 488 SE Proliferation ,Biotium,,,
ViaFluor 647 Microtubule ,Biotium,,,
YFP ,,,,
